step,train_loss,train_acc,dev_loss,dev_acc
0,27.0217342376709,0.12275,21.859514236450195,0.11014285714285714
100,2.0478107929229736,0.53825,1.7049808502197266,0.5458571428571428
200,1.5658342838287354,0.5825,1.3395048379898071,0.5802857142857143
300,0.9115745425224304,0.6315,1.1734675168991089,0.6335714285714286
400,0.8060804605484009,0.68375,1.0440149307250977,0.6685714285714286
500,0.8646992444992065,0.68925,0.9806152582168579,0.6867142857142857
600,1.0864886045455933,0.69175,0.9997676610946655,0.6755714285714286
700,0.8769865036010742,0.68925,0.9427831172943115,0.6858571428571428
800,0.8024932742118835,0.72075,0.8771717548370361,0.7152857142857143
900,0.6538189649581909,0.71275,0.8766855597496033,0.713
1000,0.599258542060852,0.721,0.8246554732322693,0.7182857142857143
1100,0.6627084016799927,0.73425,0.7928077578544617,0.7334285714285714
1200,0.9167121052742004,0.74825,0.774329662322998,0.7441428571428571
1300,0.6795013546943665,0.7545,0.7559409737586975,0.7477142857142857
1400,0.7941018342971802,0.75975,0.7425040602684021,0.7525714285714286
