step,train_loss,train_acc,dev_loss,dev_acc
0,42.9640007019043,0.10775,46.59906768798828,0.10585714285714286
100,1.5139684677124023,0.5325,1.4244005680084229,0.5447142857142857
200,1.546580195426941,0.61025,1.2130972146987915,0.6358571428571429
300,1.3788135051727295,0.606,1.1880196332931519,0.6085714285714285
400,0.9198743104934692,0.71275,0.9382292032241821,0.7195714285714285
500,0.5673183798789978,0.72375,0.9028392434120178,0.7358571428571429
600,0.6841069459915161,0.74725,0.8145701885223389,0.7448571428571429
700,1.5201444625854492,0.72525,0.8621136546134949,0.7338571428571429
800,1.243759274482727,0.734,0.8689342737197876,0.7277142857142858
900,0.7882239818572998,0.7605,0.8208983540534973,0.7524285714285714
1000,0.7696823477745056,0.764,0.7475242018699646,0.7548571428571429
1100,0.7000417113304138,0.77975,0.7248899936676025,0.7652857142857142
1200,0.7082861661911011,0.771,0.7475525140762329,0.7651428571428571
1300,0.593201220035553,0.7565,0.7117372751235962,0.7662857142857142
1400,0.5854713916778564,0.7735,0.7205768823623657,0.7695714285714286
1500,0.339443176984787,0.76,0.7127054333686829,0.7644285714285715
1600,0.7676905393600464,0.77,0.7055978775024414,0.7688571428571429
1700,0.8145858645439148,0.76175,0.7276243567466736,0.7567142857142857
1800,0.7925676107406616,0.761,0.7605676651000977,0.7535714285714286
1900,0.7848150134086609,0.7625,0.6866568326950073,0.7678571428571429
2000,0.821644127368927,0.745,0.7291390895843506,0.746
2100,0.47038108110427856,0.7855,0.6599975824356079,0.7831428571428571
2200,0.7205796837806702,0.76425,0.7281805276870728,0.7628571428571429
2300,0.5091754794120789,0.76975,0.7370590567588806,0.76
2400,0.6062185168266296,0.78125,0.6718068718910217,0.7751428571428571
